
Generating Trend... 

Date 		  Closing 	  Delta       Movement 	    Trend 
27-Aug-2014       7936.05         31          Up            Reverse
28-Aug-2014       7954.35         18          Up            Follows

01-Sep-2014       8027.70         73          Up            Follows
02-Sep-2014       8083.05         55          Up            Follows
03-Sep-2014       8114.60         31          Up            Follows
04-Sep-2014       8095.95         -18         Down          Reverse
05-Sep-2014       8086.85         -9          Down          Follows
08-Sep-2014       8173.90         87          Up            Reverse
09-Sep-2014       8152.95         -20         Down          Reverse
10-Sep-2014       8094.10         -58         Down          Follows
11-Sep-2014       8085.70         -8          Down          Follows
12-Sep-2014       8105.50         19          Up            Reverse
15-Sep-2014       8042.00         -63         Down          Reverse
16-Sep-2014       7932.90         -109        Down          Follows
17-Sep-2014       7975.50         42          Up            Reverse
18-Sep-2014       8114.75         139         Up            Follows
19-Sep-2014       8121.45         6           Up            Follows
22-Sep-2014       8146.30         24          Up            Follows
23-Sep-2014       8017.55         -128        Down          Reverse
24-Sep-2014       8002.40         -15         Down          Follows
25-Sep-2014       7911.85         -90         Down          Follows
26-Sep-2014       7968.85         57          Up            Reverse
29-Sep-2014       7958.90         -9          Down          Reverse
30-Sep-2014       7964.80         5           Up            Reverse

01-Oct-2014       7945.55         -19         Down          Reverse
07-Oct-2014       7852.40         -93         Down          Follows
08-Oct-2014       7842.70         -9          Down          Follows
09-Oct-2014       7960.55         117         Up            Reverse
10-Oct-2014       7859.95         -100        Down          Reverse
13-Oct-2014       7884.25         24          Up            Reverse
14-Oct-2014       7864.00         -20         Down          Reverse
16-Oct-2014       7748.20         -115        Down          Follows
17-Oct-2014       7779.70         31          Up            Reverse
20-Oct-2014       7879.40         99          Up            Follows
21-Oct-2014       7927.75         48          Up            Follows
22-Oct-2014       7995.90         68          Up            Follows
23-Oct-2014       8014.55         18          Up            Follows
27-Oct-2014       7991.70         -22         Down          Reverse
28-Oct-2014       8027.60         35          Up            Reverse
29-Oct-2014       8090.45         62          Up            Follows
30-Oct-2014       8169.20         78          Up            Follows
31-Oct-2014       8322.20         153         Up            Follows

03-Nov-2014       8324.15         1           Up            Follows
05-Nov-2014       8338.30         14          Up            Follows
07-Nov-2014       8337.00         -1          Down          Reverse
10-Nov-2014       8344.25         7           Up            Reverse
11-Nov-2014       8362.65         18          Up            Follows
12-Nov-2014       8383.30         20          Up            Follows
13-Nov-2014       8357.85         -25         Down          Reverse
14-Nov-2014       8389.90         32          Up            Reverse
17-Nov-2014       8430.75         40          Up            Follows
18-Nov-2014       8425.90         -4          Down          Reverse
19-Nov-2014       8382.30         -43         Down          Follows
20-Nov-2014       8401.90         19          Up            Reverse
21-Nov-2014       8477.35         75          Up            Follows
24-Nov-2014       8530.15         52          Up            Follows
25-Nov-2014       8463.10         -67         Down          Reverse
26-Nov-2014       8475.75         12          Up            Reverse
27-Nov-2014       8494.20         18          Up            Follows
28-Nov-2014       8588.25         94          Up            Follows

01-Dec-2014       8555.90         -32         Down          Reverse
02-Dec-2014       8524.70         -31         Down          Follows
03-Dec-2014       8537.65         12          Up            Reverse
04-Dec-2014       8564.40         26          Up            Follows
05-Dec-2014       8538.30         -26         Down          Reverse
08-Dec-2014       8438.25         -100        Down          Follows
09-Dec-2014       8340.70         -97         Down          Follows
10-Dec-2014       8355.65         14          Up            Reverse
11-Dec-2014       8292.90         -62         Down          Reverse
12-Dec-2014       8224.10         -68         Down          Follows
15-Dec-2014       8219.60         -4          Down          Follows
16-Dec-2014       8067.60         -152        Down          Follows
17-Dec-2014       8029.80         -37         Down          Follows
18-Dec-2014       8159.30         129         Up            Reverse
19-Dec-2014       8225.20         65          Up            Follows
